Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783250346,5,,Aggregated,0.300000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,12,0,7000.0,6129.916731000001,67.12398599999142,10544.744707999998,44.416666666666664
1783250347,5,,Aggregated,0.300000,0.000000,9900,9900,10000,10000,11000,11000,11000,11000,11000,11000,11000,12,0,7000.0,6129.916731000001,67.12398599999142,10544.744707999998,44.416666666666664
1783250348,5,,Aggregated,0.300000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,13,0,9900.0,6442.534258153847,67.12398599999142,10544.744707999998,44.92307692307692
1783250349,5,,Aggregated,0.300000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,13,0,9900.0,6442.534258153847,67.12398599999142,10544.744707999998,44.92307692307692
1783250350,5,,Aggregated,0.300000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,13,0,9900.0,6442.534258153847,67.12398599999142,10544.744707999998,44.92307692307692
1783250351,5,,Aggregated,0.300000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,13,0,9900.0,6442.534258153847,67.12398599999142,10544.744707999998,44.92307692307692
1783250352,5,,Aggregated,0.300000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,13,0,9900.0,6442.534258153847,67.12398599999142,10544.744707999998,44.92307692307692
1783250353,5,,Aggregated,0.300000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,13,0,9900.0,6442.534258153847,67.12398599999142,10544.744707999998,44.92307692307692
1783250354,5,,Aggregated,0.300000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,13,0,9900.0,6442.534258153847,67.12398599999142,10544.744707999998,44.92307692307692
1783250355,5,,Aggregated,0.100000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,14,0,7700.0,6531.966980785714,67.12398599999142,10544.744707999998,44.07142857142857
1783250356,5,,Aggregated,0.100000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,14,0,7700.0,6531.966980785714,67.12398599999142,10544.744707999998,44.07142857142857
1783250358,5,,Aggregated,0.100000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,14,0,7700.0,6531.966980785714,67.12398599999142,10544.744707999998,44.07142857142857
1783250359,5,,Aggregated,0.100000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,14,0,7700.0,6531.966980785714,67.12398599999142,10544.744707999998,44.07142857142857
1783250360,5,,Aggregated,0.100000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,14,0,7700.0,6531.966980785714,67.12398599999142,10544.744707999998,44.07142857142857
1783250361,5,,Aggregated,0.100000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,14,0,7700.0,6531.966980785714,67.12398599999142,10544.744707999998,44.07142857142857
1783250362,5,,Aggregated,0.100000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,14,0,7700.0,6531.966980785714,67.12398599999142,10544.744707999998,44.07142857142857
1783250363,5,,Aggregated,0.100000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,14,0,7700.0,6531.966980785714,67.12398599999142,10544.744707999998,44.07142857142857
1783250364,5,,Aggregated,0.100000,0.000000,9900,10000,10000,10000,11000,11000,11000,11000,11000,11000,11000,14,0,7700.0,6531.966980785714,67.12398599999142,10544.744707999998,44.07142857142857
